Designator,Mid X,Mid Y,Rotation,Layer
MX1,38.1,-38.1,0.0,top
MX4,95.25,-38.1,0.0,top
MX5,114.3,-38.1,0.0,top
MX6,133.35,-38.1,0.0,top
MX7,152.4,-38.1,0.0,top
MX8,171.45,-38.1,0.0,top
MX9,190.5,-38.1,0.0,top
MX10,209.55,-38.1,0.0,top
MX11,228.6,-38.1,0.0,top
MX12,247.65,-38.1,0.0,top
MX13,38.1,-57.15,0.0,top
MX14,57.15,-57.15,0.0,top
MX15,76.2,-57.15,0.0,top
MX16,95.25,-57.15,0.0,top
MX17,114.3,-57.15,0.0,top
MX18,133.35,-57.15,0.0,top
MX19,152.4,-57.15,0.0,top
MX20,171.45,-57.15,0.0,top
MX21,190.5,-57.15,0.0,top
MX22,209.55,-57.15,0.0,top
MX23,228.6,-57.15,0.0,top
MX24,247.65,-57.15,0.0,top
MX25,38.1,-76.2,0.0,top
MX26,57.15,-76.2,0.0,top
MX27,76.2,-76.2,0.0,top
MX28,95.25,-76.2,0.0,top
MX29,114.3,-76.2,0.0,top
MX30,133.35,-76.2,0.0,top
MX31,152.4,-76.2,0.0,top
MX32,171.45,-76.2,0.0,top
MX33,190.5,-76.2,0.0,top
MX34,209.55,-76.2,0.0,top
MX35,228.6,-76.2,0.0,top
MX36,247.65,-76.2,0.0,top
MX37,38.1,-95.25,0.0,top
MX38,57.15,-95.25,0.0,top
MX39,76.2,-95.25,0.0,top
MX40,95.25,-95.25,0.0,top
MX41,114.3,-95.25,0.0,top
MX42_2,133.35,-95.25,0.0,top
MX43_2,152.4,-95.25,0.0,top
MX44,171.45,-95.25,0.0,top
MX45,190.5,-95.25,0.0,top
MX46,209.55,-95.25,0.0,top
MX47,228.6,-95.25,0.0,top
MX48,247.65,-95.25,0.0,top
MX49,142.875,-95.25,180.0,top
MX2,57.12968,-38.12032,180.0,top
MX3,76.18984,-38.12032,180.0,top
MX43,161.9302,-95.2462,180.0,top
J3,53.8682,-67.0712,0.0,top
MX42,123.8262,-95.2462,180.0,top
U1,78.32344,-55.55488,-90.0,bottom
D1,46.9582,-41.0162,90.0,bottom
D2,59.6532,-47.1512,180.0,bottom
D3,79.85125,-66.675,180.0,bottom
D4,104.1982,-41.6462,90.0,bottom
D5,123.3482,-41.7062,90.0,bottom
D6,142.4882,-41.6462,90.0,bottom
D7,161.5082,-41.6462,90.0,bottom
D8,180.3182,-41.6462,90.0,bottom
D9,199.3982,-41.5762,90.0,bottom
D10,218.6082,-41.6462,90.0,bottom
D11,237.5582,-41.5762,90.0,bottom
D12,251.27966,-49.07534,180.0,bottom
D13,42.5632,-45.6212,180.0,bottom
D14,53.8132,-61.3912,0.0,bottom
D15,98.90125,-66.675,180.0,bottom
D16,104.3982,-60.7862,90.0,bottom
D17,123.2782,-60.5262,90.0,bottom
D18,142.4282,-60.5862,90.0,bottom
D19,161.6382,-60.3262,90.0,bottom
D20,180.5182,-60.4562,90.0,bottom
D21,199.5982,-60.5262,90.0,bottom
D22,218.5482,-60.6562,90.0,bottom
D23,237.5582,-60.6562,90.0,bottom
D24,251.30125,-66.675,180.0,bottom
D25,61.11875,-85.725,180.0,bottom
D26,65.9882,-79.8062,90.0,bottom
D27,85.1882,-79.85125,90.0,bottom
D28,104.3482,-79.4962,90.0,bottom
D29,123.2782,-79.6662,90.0,bottom
D30,142.4882,-79.6662,90.0,bottom
D31,161.5682,-79.6062,90.0,bottom
D32,180.5782,-79.6062,90.0,bottom
D33,199.6282,-79.6062,90.0,bottom
D34,218.6782,-79.6062,90.0,bottom
D35,232.25125,-85.725,180.0,bottom
D36,237.4982,-79.6062,90.0,bottom
D37,41.75125,-83.6112,180.0,bottom
D38,47.0182,-98.3162,90.0,bottom
D39,66.1682,-98.6862,90.0,bottom
D40,85.0182,-98.7362,90.0,bottom
D41,104.3282,-98.7862,90.0,bottom
D42,123.1982,-90.8212,90.0,bottom
D43,161.4782,-90.8012,90.0,bottom
D44,180.4382,-98.7862,90.0,bottom
D45,199.4882,-98.7862,90.0,bottom
D46,218.5382,-98.7862,90.0,bottom
D47,237.5882,-98.7862,90.0,bottom
D48,251.9332,-83.9512,180.0,bottom
SW1,71.5482,-84.1712,180.0,bottom
J1,44.5582,-64.5812,90.0,bottom
USB-C,66.15176,-30.734,0.0,bottom
R3,50.8332,-32.6512,0.0,bottom
R4,80.5132,-32.7012,180.0,bottom
